date,dem_percent,rep_percent,sample_size,registered_voter,pollster_lean,pollster_grade,pollster_name
10/2/2018,0.45,0.4,1223,Registered,-0.003,B,YouGov
10/1/2018,0.48,0.42,996,Registered,0.005,A,Marist
10/1/2018,0.5,0.38,2144,Likely,-0.006,B,Ipsos
9/30/2018,0.45,0.37,1330,Registered,0.015,C,Harris Interactive
9/30/2018,0.48,0.43,2139,Adults,0.01,D,Civiqs
9/30/2018,0.49,0.42,1111,Registered,-0.001,A,Quinnipiac
9/29/2018,0.43,0.36,993,Registered,-0.006,B,Morning Consult
9/28/2018,0.48,0.4,741,Registered,0.008,C,Change Research
9/28/2018,0.48,0.4,3338,Likely,0.015,C,Harris Interactive
9/27/2018,0.45,0.36,1228,Registered,0.015,C,Harris Interactive
9/27/2018,0.47,0.42,2500,Likely,0.015,C,Rasmussen
9/25/2018,0.46,0.38,1234,Registered,-0.003,B,YouGov
9/24/2018,0.48,0.41,802,Registered,0.005,A,Marist
9/24/2018,0.52,0.42,1439,Registered,-0.006,B,Pew
9/24/2018,0.46,0.42,1000,Likely,0.004,C,McLaughlin
9/24/2018,0.48,0.42,1108,Likely,-0.006,B,Ipsos
9/24/2018,0.55,0.41,2513,Likely,0.004,C,USC
9/23/2018,0.43,0.35,1966,Registered,-0.006,B,Morning Consult
9/23/2018,0.51,0.42,1308,Registered,-0.009,B,Gallup
9/22/2018,0.44,0.36,1000,Registered,0.015,C,Harris Interactive
10/3/2018,0.45,0.43,846,Registered,0.008,A,IBD/TIPP
10/4/2018,0.50,0.42,1000,Registered,-0.001,B,Emerson College
10/5/2018,0.49,0.41,4549,Likely,0.015,C,Harris Interactive
10/7/2018,0.54,0.41,739,Likely,-0.001,A,CNN/SSRS
10/7/2018,0.43,0.37,1000,Registered,0.015,C,Harris Interactive
10/7/2018,0.48,0.38,2189,Registered,-0.006,B,Morning Consult
10/8/2018,0.50,0.38,2022,Likely,-0.006,B,Ipsos
10/9/2018,0.47,0.41,1156,Registered,-0.003,B,YouGov
10/11/2018,0.55,0.42,752,Likely,-0.006,A,ABC News/Washington Post
10/12/2018,0.49,0.40,3339,Likely,0.015,C,Harris Interactive
10/14/2018,0.44,0.37,1959,Registered,-0.006,B,Morning Consult
10/15/2018,0.50,0.40,1194,Likely,-0.006,B,Ipsos
10/16/2018,0.46,0.41,1273,Registered,-0.003,B,YouGov