district_name,date,dem_percent,rep_percent,sample_size,registered_voter,pollster_lean,pollster_grade,pollster_name
VA-10,3/21/2018,0.46,0.43,400,Registered,-0.034,C,DCCC Targeting Team
SD-01,7/20/2018,0.33,0.43,641,Registered,-0.021,B,Public Policy Polling
IA-03,7/12/2018,0.45,0.41,500,Likely,-0.044,C,Anzalone Liszt Grove Research
CA-49,9/23/2018,0.51,0.41,507,Likely,-0.001,A,Siena College
CO-06,7/12/2018,0.45,0.45,400,Registered,0.0017,C,IMGE Insight
VA-10,6/24/2018,0.5,0.41,338,Likely,-0.011,A,Monmouth University
IL-06,7/25/2018,0.37,0.44,600,Likely,0.019,D,Victory Research
CO-06,2/15/2018,0.44,0.39,751,Voters,-0.021,B,Public Policy Polling
CA-50,10/1/2018,0.44,0.45,400,Likely,-0.006,B,Tulchin Research
CO-06,7/11/2018,0.41,0.44,400,Likely,-0.0024,B,"Normington, Petts, and Associates"
VA-10,9/30/2018,0.5,0.44,374,Likely,0.011,A,Monmouth University
IL-06,4/23/2018,0.44,0.45,401,Likely,-0.031,B,Garin-Hart-Yang Research Group
KS-03,8/15/2018,0.48,0.43,400,Likely,-0.016,C,Global Strategy Group
FL-07,8/30/2018,0.47,0.46,435,Registered,0.002,B,St. Pete Polls
KS-03,9/20/2018,0.4,0.43,610,Likely,0.042,D,Remington Research Group
KS-03,9/23/2018,0.51,0.43,494,Likely,-0.001,A,Siena College
VA-02,10/1/2018,0.41,0.49,500,Likely,-0.001,A,Siena College
KS-03,9/28/2018,0.47,0.41,246,Registered,-0.009,B,Emerson College
MT-01,9/16/2018,0.45,0.46,950,Likely,0.006,B,Benenson Strategy Group
MT-01,9/22/2018,0.42,0.51,710,Likely,0.021,C,Gravis Marketing
VA-02,9/28/2018,0.46,0.46,758,Likely,-0.035,C,Change Research
KS-04,7/19/2018,0.38,0.42,1896,Likely,0.054,C,Change Research
VA-02,9/8/2018,0.51,0.43,404,Likely,-0.031,B,Garin-Hart-Yang Research Group
NH-01,9/26/2018,0.55,0.33,400,Registered,-0.05,C,American Research Group
VA-02,7/1/2018,0.44,0.48,404,Likely,-0.031,B,Garin-Hart-Yang Research Group
KS-04,9/28/2018,0.26,0.5,256,Registered,0.009,B,Emerson College
VA-02,4/17/2018,0.42,0.48,609,Voters,-0.021,B,Public Policy Polling
VA-07,9/24/2018,0.47,0.47,329,Likely,-0.011,A,Monmout University
VA-07,9/20/2018,0.47,0.47,400,Likely,-0.024,B,"Normington, Petts, & Associates"
VA-07,9/12/2018,0.43,0.47,501,Likely,-0.001,A,Siena College
PA-16,10/8/2018,0.42,0.5,532,Likely,-0.001,A,Siena College
NY-01,10/8/2018,0.41,0.49,502,Likely,-0.001,A,Siena College
NC-13,10/8/2018,0.41,0.47,500,Likely,-0.001,A,Siena College
IL-14,10/8/2018,0.43,0.47,501,Likely,-0.001,A,Siena College
TX-23,10/4/2018,0.3,0.55,400,Likely,0,D,GS Strategy group
NM-02,10/2/2018,0.45,0.49,400,Likely,-0.007,B,Tarrance Group
FL-26,10/1/2018,0.5,0.48,500,Likely,0,B,GBA Strategies
NC-09,10/4/2018,0.45,0.41,556,Likely,0.0001,A,Survey USA
IL-13,10/4/2018,0.48,0.49,500,Likely,0,B,GBA Strategies
IL-13,9/11/2018,0.46,0.51,500,Likely,0,B,GBA Starategies
CA-39,10/2/2018,0.48,0.47,400,Likely,-0.049,B,Tulchin Research
IL-06,10/1/2018,0.49,0.44,400,Likely,0.0016,B,Garin-Hart-Yang
MT-01,8/31/2018,0.51,0.38,466,Likely,0,D,University of Montana
WI-01,7/15/2018,0.41,0.4,401,Likely,0.007,C,Global Strategy Group
KY-06,10/2/2018,0.51,0.44,501,Likely,0.0001,B,Garin-Hart-Yang Research Group*
VA-10,10/2/2018,0.51,0.44,794,Likely,0,B,Christopher Newport University
NH-01,9/27/2018,0.4,0.42,400,Likely,0.0058,C,Onmessage
CA-10,9/23/2018,0.5,0.45,726,Likely,-0.0025,D,UC Berkley
CA-50,9/23/2018,0.47,0.49,527,Likely,-0.0025,D,UC Berkley
CA-49,9/23/2018,0.55,0.41,551,Likely,-0.0025,D,UC Berkley
CA-45,9/23/2018,0.52,0.45,519,Likely,-0.0025,D,UC Berkley
CA-25,9/23/2018,0.5,0.46,650,Likely,-0.0025,D,UC Berkley
KY-06,10/8/2018,0.46,0.48,400,Likely,0.0036,B,Public Opinion Strategies
FL-16,10/7/2018,0.42,0.52,400,Likely,0.0036,B,Public Opinion Strategies
NJ-11,10/7/2018,0.48,0.44,356,Likely,-0.0008,A,Monmouth University
PA-07,10/28/2018,0.49,0.38,823,Likely,-0.0034,D,DeSales University
VA-10,10/5/2018,0.55,0.43,866,Likely,-0.0021,A,Washington Post
FL-15,10/4/2018,0.39,0.46,418,Likely,0.0063,B,Wilson Perkins Allen
NE-02,10/2/2018,0.4,0.49,400,Registered,0.0037,D,Meeting Street Research
MN-07,9/10/2018,0.53,0.35,500,Likely,-0.0044,C,Anzalone Liszt Grove Research
WA-08,10/9/2018,0.39,0.43,400,Registered,0.0015,A,Elway Research
VA-10,10/8/2018,0.47,0.48,400,Likely,0.0054,D,Mclaughlin and Associates
PA-17,10/8/2018,0.54,0.42,354,Likely,0.014,A,Monmouth University
IL-12,10/7/2018,0.45,0.46,404,Likely,-0.0018,C,Global Strategy Group
FL-06,10/4/2018,0.45,0.45,400,Likely,-0.0018,B,Greenberg Quinlan Rosner
IL-13,10/1/2018,0.37,0.5,400,Likely,-0.0016,B,American Viewpoint
NY-27,10/8/2018,0.42,0.42,400,Likely,-0.0049,B,Tulchin Research
FL-27,10/6/2018,0.42,0.44,625,Likely,-0.001,B,Mason Dixon
NJ-03,10/4/2018,0.4,0.44,400,Likely,-0.003,B,National Research
IL-12,7/30/2018,0.41,0.5,400,Likely,-0.0018,C,Global Strategy
AK-01,10/6/2018,0.46,0.5,500,Likely,0.04,D,Alaska Survey Research
AK-01,10/12/2018,0.43,0.46,645,Voters,-0.022,B,Public Policy Polling
MN-08,10/14/2018,0.34,0.49,507,Likely,-0.001,A,Siena College
WA-03,10/11/2018,0.45,0.43,400,Likely,-0.034,B,Lake Research
AZ-01,10/10/2018,0.38,0.44,943,Likely,0.042,D,Go Right Strategies
NY-01,10/10/2018,0.45,0.5,500,Likely,-0.017,B,GBA Strategies
UT-04,10/10/2018,0.47,0.45,400,Likely,-0.042,B,Mellman Group
NV-04,10/8/2018,0.37,0.41,400,Likely,0.054,B,Moore Information
IA-01,10/4/2018,0.44,0.43,400,Registered,0.05,C,The Polling Company
TX-17,9/1/2018,0.38,0.54,961,Registered,-0.04,C,Change Research
PA-01,10/4/2018,0.42,0.5,400,Likely,-0.036,B,Public Opinion Strategies
TX-23,10/18/2018,0.38,0.53,488,Likely,0.007,A,Siena College/NYT
NJ-11,10/17/2018,0.49,0.38,487,Likely,0.007,A,Siena College/NYT
CO-06,10/17/2018,0.47,0.38,506,Likely,0.007,A,Siena College/NYT
PA-01,10/14/2018,0.5,0.43,570,Likely,0.006,A,Siena College
NH-02,10/12/2018,0.44,0.25,461,Likely,-0.003,B,Emerson College
NH-01,10/12/2018,0.4,0.35,387,Likely,-0.003,B,Emerson College
NV-04,10/12/2018,0.36,0.34,157,Likely,-0.003,B,Emerson College
NV-03,10/12/2018,0.41,0.39,178,Likely,-0.003,B,Emerson College
NV-02,10/12/2018,0.16,0.23,169,Likely,-0.003,B,Emerson College
NV-01,10/12/2018,0.5,0.2,121,Likely,-0.003,B,Emerson College
NC-13,10/12/2018,0.41,0.44,533,Likely,0.002,A,Survey USA
VA-02,10/12/2018,0.43,0.5,798,Likely,-0.014,B,Christopher Newport
UT-04,10/11/2018,0.46,0.45,403,Registered,-0.003,D,University of Utah
MI-06,10/10/2018,0.46,0.49,605,Likely,-0.031,C,DCCC targeting Team
NJ-03,10/10/2018,0.45,0.47,546,Likely,0.022,B,Stockton University
FL-26,10/9/2018,0.45,0.46,625,Likely,-0.006,B,Mason Dixon
OR-05,10/8/2018,0.33,0.56,359,Likely,0.029,C,Gravis
ME-02,10/18/2018,0.41,0.41,501,Likely,0.006,A,Siena College/NYT
FL-27,10/19/2018,0.44,0.37,542,Likely,0.006,A,Siena College/NYT
WV-03,10/18/2018,0.41,0.46,490,Likely,0.006,A,Siena College/NYT
WA-03,10/19/2018,0.41,0.48,497,Likely,0.006,A,Siena College/NYT
MI-02,10/15/2018,0.42,0.48,400,Likely,-0.034,B,Lake Research
FL-27,10/14/2018,0.44,0.39,500,Likely,-0.041,C,Anzalone Liszt
IA-01,10/13/2018,0.45,0.43,400,Registered,0.05,C,The Polling Company
NY-22,10/13/2018,0.42,0.5,400,Likely,0.05,C,The Polling Company
MI-11,10/13/2018,0.36,0.35,400,Likely,0.046,B,Harper Polling
NY-27,10/11/2018,0.43,0.46,490,Likely,0.006,A,Siena College
PA-16,10/10/2018,0.48,0.49,548,Likely,-0.031,C,DCCC Targeting Team
MI-02,7/15/2018,0.28,0.5,400,Likely,-0.034,B,Lake Research
KS-03,10/17/2018,0.48,0.39,503,Likely,0.006,A,Siena College/NYT
AK-01,10/14/2018,0.47,0.49,500,Registered,0.006,D,Alaska Survey Research
MI-11,10/14/2018,0.48,0.39,513,Likely,-0.036,C,Anzalone Liszt Grove
UT-03,10/9/2018,0.13,0.67,143,Registered,-0.001,D,University of Utah
UT-01,10/9/2018,0.2,0.52,143,Registered,-0.001,D,University of Utah
NY-25,10/8/2018,0.53,0.36,465,Likely,0.006,A,Siena College
TX-12,9/28/2018,0.3,0.62,590,Voters,-0.021,B,Public Policy Polling
NY-11,9/5/2018,0.39,0.47,509,Voters,-0.021,B,Public Policy Polling
WV-03,10/14/2018,0.45,0.48,350,Likely,-0.002,A,Monmouth University
NH-02,10/15/2018,0.49,0.22,220,Likely,-0.009,D,St. Anselm
NH-01,10/15/2018,0.44,0.36,234,Likely,-0.009,D,St. Anselm
AK-01,10/16/2018,0.44,0.48,500,Likely,-0.016,B,Lake Research
PA-08,10/19/2018,0.52,0.4,506,Likely,0.002,A,Siena College/NYT
FL-15,10/19/2018,0.43,0.43,499,Likely,0.002,A,Siena College/NYT
CA-45,10/17/2018,0.46,0.5,400,Likely,0.046,B,Public Opinion Strategies
FL-15,10/14/2018,0.45,0.45,591,Likely,0.002,A,SurveyUSA
PA-07,10/18/2018,0.48,0.41,411,Likely,-0.007,A,Muhlenberg College
MI-08,10/17/2018,0.45,0.48,500,Likely,0.017,C,Target Insyght
MI-11,10/17/2018,0.48,0.48,500,Likely,0.017,C,Target Insyght
ME-02,10/7/2018,0.37,0.37,251,Likely,-0.011,B,Pan Atlantic SMS Group
ME-01,10/7/2018,0.53,0.29,249,Likely,-0.011,B,Pan Atlantic SMS Group
AZ-01,10/18/2018,0.46,0.46,400,Likely,0.043,B,American Viewpoint
UT-02,10/17/2018,0.29,0.52,401,Registered,0.003,D,Univeristy of Utah
GA-07,10/14/2018,0.32,0.59,400,Likely,0.071,C,McLauglin & Associates
AR-02,10/18/2018,0.4,0.52,590,Likely,0.02,B,Hendrix College
ND-01,10/19/2018,0.35,0.56,650,Likely,0.029,D,Strategic Research Associates
FL-15,10/18/2018,0.41,0.47,1369,Likely,0.047,D,Remington Research Group
GA-07,10/18/2018,0.43,0.49,500,Likely,-0.014,D,JMC Analytics / Bold Blue
NH-02,10/18/2018,0.53,0.38,234,Likely,0.006,B,University of New Hampshire
NH-01,10/18/2018,0.46,0.37,265,Likely,0.006,B,University of New Hampshire
NY-19,10/16/2018,0.43,0.44,500,Likely,0.003,A,Siena College
OK-05,10/15/2018,0.35,0.51,974,Likely,0.047,D,VCreek/AMG
VT-01,10/14/2018,0.55,0.18,974,Likely,0.033,B,Braun Research
OH-12,10/13/2018,0.46,0.48,639,Likely,-0.025,B,Clarity Campaign Labs
ME-02,10/12/2018,0.48,0.42,400,Likely,-0.016,C,Global Strategy Group
IL-12,10/22/2018,0.39,0.48,502,Likely,0.003,A,Siena College/NYT
VA-02,10/22/2018,0.42,0.45,508,Likely,0.003,A,Siena College/NYT
VA-05,10/22/2018,0.46,0.45,501,Likely,0.003,A,Siena College/NYT
WI-01,10/21/2018,0.45,0.44,551,Likely,-0.012,C,Change Research
CA-48,10/21/2018,0.48,0.5,372,Likely,-0.001,A,Monmouth University
TX-21,10/20/2018,0.38,0.5,401,Likely,0.059,B,WPA Intelligence
GA-06,10/18/2018,0.45,0.49,500,Likely,-0.011,D,JMC Analytics/Bold Blue Campaigns
FL-27,10/14/2018,0.41,0.5,400,Registered,0.07,C,McLaughlin & Associates
WI-01,10/5/2018,0.44,0.46,501,Likely,-0.012,C,Change Research
OH-12,10/22/2018,0.47,0.47,570,Likely,0,B,GBA Strategies
FL-15,10/18/2018,0.47,0.47,400,Likely,0,B,Greenberg Quinlan Rosner
NY-22,10/18/2018,0.46,0.45,501,Likely,0,A,Siena College
CA-45,10/16/2018,0.42,0.5,365,Likely,0,C,TargetPoint
CO-06,10/16/2018,0.48,0.43,385,Likely,0,C,TargetPoint
PA-01,10/16/2018,0.49,0.45,400,Likely,0,C,TargetPoint
VA-10,10/16/2018,0.47,0.47,421,Likely,0,C,TargetPoint
VA-05,10/16/2018,0.43,0.48,406,Likely,0,C,TargetPoint
TX-02,10/16/2018,0.4,0.49,435,Likely,0,C,TargetPoint
OH-16,10/16/2018,0.39,0.48,424,Likely,0,C,TargetPoint
NY-21,10/16/2018,0.4,0.5,491,Likely,0,C,TargetPoint
WI-01,9/8/2018,0.45,0.45,400,Likely,0,C,Global Strategy Group
MN-01,10/20/2018,0.47,0.45,586,Likely,0,A,SurveyUSA
CA-04,10/16/2018,0.45,0.49,840,Likely,0,B,Clarity Campaign Labs
MT-01,10/13/2018,0.41,0.44,471,Likely,0,B,MSU Billings
MT-01,10/6/2018,0.4,0.48,2079,Registered,0,D,MSU Bozeman
VA-10,8/27/2018,0.5,0.43,400,Likely,0,C,Global Strategy Group
CA-39,10/23/2018,0.47,0.46,496,Likely,0,A,Siena College/NYT
NM-02,10/23/2018,0.44,0.45,522,Likely,0,A,Siena College/NYT
NJ-02,10/23/2018,0.55,0.38,597,Likely,0,B,Stockton University
GA-06,10/22/2018,0.47,0.48,400,Likely,0,D,Thirty-Ninth Street Strategies
NJ-03,10/22/2018,0.48,0.46,363,Likely,0,A,Monmouth University
SD-01,10/22/2018,0.31,0.54,500,Likely,0,B,Mason-Dixon Polling
VA-10,10/21/2018,0.56,0.43,430,Likely,0,A,Washington Post/George Mason
OR-02,10/12/2018,0.4,0.49,400,Likely,0,D,Patinkin Research Strategies
OH-01,10/24/2018,0.41,0.5,492,Likely,0,A,Siena College/NYT
CA-49,10/24/2018,0.53,0.49,500,Likely,0,A,Siena College/NYT
FL-26,10/24/2018,0.45,0.44,499,Likely,0,A,Siena College/NYT
NJ-05,10/15/2018,0.47,0.38,400,Likely,0,C,McLaughlin & Associates
NE-01,10/25/2018,0.39,0.55,742,Likely,0,C,Change Research
NY-23,10/24/2018,0.47,0.49,510,Likely,0,C,Change Research
NJ-03,10/25/2018,0.44,0.45,508,Likely,0,A,Siena College/NYT
MT-01,10/18/2018,0.46,0.45,533,Likely,0,D,University of Montana
CA-10,10/25/2018,0.47,0.45,501,Likely,0,A,Siena College/NYT
IL-13,10/25/2018,0.41,0.46,501,Likely,0,A,Siena College/NYT
TX-07,10/25/2018,0.45,0.46,499,Likely,0,A,Siena Colege/NYT
IA-03,10/27/2018,0.43,0.41,504,Likely,0,A,Siena College/NYT
UT-04,10/26/2018,0.45,0.45,526,Likely,0,A,Siena College/NYT
NY-11,10/27/2018,0.4,0.44,495,Likely,0,A,Siena College/NYT
PA-10,10/26/2018,0.43,0.45,498,Likely,0,A,Siena College/NYT
IL-06,10/26/2018,0.46,0.44,497,Likely,0,A,Siena College/NYT
NY-24,10/22/2018,0.39,0.53,500,Likely,0,A,Siena College
CA-25,10/28/2018,0.44,0.48,504,Likely,0,A,Siena College/NYT
CA-16,9/19/2018,0.51,0.4,515,Likely,0,A,SurveyUSA
CA-21,9/24/2018,0.39,0.5,555,Likely,0,A,SurveyUSA
CA-45,9/23/2018,0.48,0.47,400,Likely,0,B,GBA Strategies
CA-45,9/18/2018,0.46,0.43,500,Likely,0,C,Global Strategy group
CA-45,8/14/2018,0.49,0.46,500,Likely,0,B,Tulchin Research
CA-45,7/31/2018,0.44,0.45,500,Likely,0,C,Global Strategy Group
CA-45,5/12/2018,0.46,0.43,599,Likely,0,B,Public Policy Polling
CA-45,2/21/2018,0.46,0.44,648,Registered,0,B,Public Policy Polling
CA-48,9/6/2018,0.45,0.45,501,Likely,0,A,Siena College/NYT
CA-48,7/15/2018,0.47,0.45,361,Likely,0,A,Monmouth University
CA-48,10/5/2017,0.44,0.48,401,Likely,0,B,Tulchin Research
CA-49,9/20/2018,0.45,0.43,400,Likely,0,B,Public Opinion Strategies
CA-49,7/17/2018,0.43,0.46,400,Likely,0,B,Public Opinion Strategies
CA-49,6/27/2018,0.44,0.41,400,Likely,0,B,Feldman Group
CA-50,9/26/2018,0.38,0.53,348,Likely,0,A,Monmouth University
CA-50,8/30/2018,0.46,0.46,400,Likely,0,B,Tulchin Research
CA-50,8/26/2018,0.39,0.47,539,Likely,0,A,SurveyUSA
CA-50,7/23/2018,0.42,0.51,400,Likely,0,B,Tulchin Research
NY-27,10/28/2018,0.47,0.43,400,Likely,0,B,Tulchin Research
VA-07,10/27/2018,0.46,0.45,871,Likely,0,B,Christopher Newport University
NM-03,10/26/2018,0.54,0.37,331,Likely,0,B,Emerson College
NM-02,10/26/2018,0.47,0.47,278,Likely,0,B,Emerson College
NM-01,10/26/2018,0.51,0.41,327,Likely,0,B,Emerson College
NE-02,10/25/2018,0.45,0.52,350,Likely,0,B,DFM Research
AK-01,9/25/2018,0.43,0.54,500,Likely,0,D,Alaska Survey Research
AZ-06,10/15/2018,0.36,0.5,500,Likely,0,A,Siena College/NYT
AZ-08,9/26/2018,0.44,0.48,400,Likely,0,B,Lake Research
AZ-08,8/13/2018,0.4,0.49,400,Likely,0,B,Lake Research
CO-06,10/8/2017,0.36,0.43,742,Voters,0,B,Public Policy Polling
FL-09,10/7/2018,0.48,0.4,535,Likely,0,A,SurveyUSA
IA-01,10/8/2018,0.42,0.4,1093,Voters,0,B,Public Policy Polling
KY-06,8/26/2018,0.44,0.49,401,Likely,0,B,Garin-Hart-Yang Research Group*
MI-11,10/6/2018,0.45,0.38,465,Likely,0,A,Siena College/NYT
MI-11,10/4/2018,0.42,0.37,503,Likely,0,C,Anzalone Liszt Grove
MI-11,8/16/2018,0.44,0.36,500,Likely,0,C,Anzalone Liszt Grove
MN-02,10/7/2017,0.42,0.43,732,Voters,0,B,Public Policy Polling
MT-01,6/13/2018,0.49,0.43,469,Likely,0,C,Gravis Marketing
NH-02,9/26/2018,0.54,0.27,400,Registered,0,C,American Research Group
NY-22,10/10/2017,0.45,0.43,561,Likely,0,C,DCCC Targeting Team
NC-09,7/8/2018,0.43,0.36,543,Likely,0,A,SurveyUSA
NC-09,3/13/2018,0.44,0.43,500,Likely,0,C,Anzalone Liszt Grove Research
UT-04,10/18/2017,0.42,0.48,402,Registered,0,C,Dan Jones & Associates
VA-10,10/15/2018,0.48,0.41,484,Likely,0,A,Siena College/NYT
VA-10,10/9/2018,0.49,0.39,400,Likely,0,C,Global Strategy Group
WA-03,6/18/2018,0.37,0.42,500,Likely,0,B,Lake Research
WA-03,3/12/2018,0.29,0.49,400,Likely,0,A,Lake Research
WA-08,9/26/2018,0.46,0.45,505,Likely,0,A,Siena College/NYT
WA-08,4/22/2018,0.45,0.51,300,Likely,0,B,GBA Strategies
PA-10,10/21/2018,0.46,0.49,366,Likely,0,C,Susquehanna Polling & Research
NY-27,10/29/2018,0.4,0.44,501,Likely,0,A,Siena College/NYT
MN-02,10/14/2018,0.52,0.43,400,Likely,0,C,Global Strategy Group
IA-04,10/29/2018,0.44,0.45,631,Likely,0,C,Change Research
KS-02,10/29/2018,0.44,0.45,902,Likely,0,C,Change Research
WI-06,10/29/2018,0.48,0.5,525,Likely,0,C,Change Research
IN-09,10/29/2018,0.45,0.52,541,Likely,0,C,Change Research
IN-05,10/29/2018,0.44,0.5,527,Likely,0,C,Change Research
MI-01,10/29/2018,0.42,0.54,574,Likely,0,C,Change Research
MI-06,10/29/2018,0.43,0.46,466,Likely,0,C,Change Research
OH-02,10/29/2018,0.39,0.52,431,Likely,0,C,Change Research
IL-16,10/29/2018,0.41,0.55,554,Likely,0,C,Change Research
FL-18,10/29/2018,0.44,0.53,475,Likely,0,C,Change Research
NY-01,10/29/2018,0.37,0.52,838,Likely,0,C,Change Research
CO-03,10/29/2018,0.38,0.53,485,Likely,0,C,Change Research
CA-50,10/28/2018,0.45,0.48,547,Likely,0,A,SurveyUSA
NC-02,10/28/2018,0.4,0.49,565,Likely,0,A,SurveyUSA
KS-04,10/28/2018,0.33,0.63,262,Likely,0,B,Emerson College
KS-03,10/28/2018,0.55,0.43,262,Likely,0,B,Emerson College
KS-02,10/28/2018,0.41,0.48,231,Likely,0,B,Emerson College
KS-01,10/28/2018,0.36,0.51,221,Likely,0,B,Emerson College
MT-01,10/26/2018,0.48,0.48,782,Likely,0,C,Gravis Marketing
NY-19,10/28/2018,0.49,0.44,372,Likely,0,A,Monmouth University
PA-01,10/29/2018,0.46,0.47,502,Likely,0,A,Siena College/NYT
